,Year of Release,Game Title,Game Price,Score,Votes,Genre
390,2015,Quell,3.99,7.99,370,Puzzle
391,2015,Dropsy,0.99,7.98,1781,Point & Click
392,2015,"Invisible, Inc.",19.99,7.98,5253,Stealth
393,2015,LEGO® Jurassic World,19.99,7.97,7065,LEGO
394,2015,Axiom Verge,19.99,7.97,5164,Metroidvania
395,2015,The Escapists,17.99,7.96,15475,Pixel Graphics
396,2015,Grow Home,1.99,7.96,5108,Open World
397,2015,Hyperdimension Neptunia Re;Birth2: Sisters Generation,14.99,7.96,3119,Anime
398,2015,Lakeview Cabin Collection,9.99,7.96,1712,Survival Horror
399,2015,Endless ATC,6.99,7.96,324,Immersive Sim
400,2015,Jigoku Kisetsukan: Sense of the Seasons,0.0,7.96,1745,Bullet Hell
401,2015,Devil May Cry 4 Special Edition,7.49,7.95,13258,Action
402,2015,Amnesia™: Memories,9.99,7.94,3182,Otome
403,2015,Kero Blaster,9.99,7.94,1222,Side Scroller
404,2015,Dino Run DX,5.99,7.94,1275,Dinosaurs
405,2015,A Kiss For The Petals - Remembering How We Met,7.99,7.93,1529,Female Protagonist
406,2015,Renowned Explorers: International Society,19.99,7.93,2730,Strategy
407,2015,Duet,4.99,7.92,756,Action
408,2015,Nyan Cat: Lost In Space,2.49,7.92,1715,Memes
409,2015,Blockwick 2,9.99,7.92,169,Casual
410,2015,Gravity Ghost,14.99,7.92,292,Great Soundtrack
411,2015,Tom Clancy's Rainbow Six® Siege,7.99,7.92,1133365,FPS
412,2015,Grim Fandango Remastered,14.99,7.91,6957,Adventure
413,2015,Sky Force Anniversary,9.99,7.91,1910,Shoot 'Em Up
414,2015,"Guns, Gore & Cannoli",9.99,7.91,3081,Action
415,2015,Wolfenstein: The Old Blood,19.99,7.9,16753,FPS
416,2015,Spooky Bonus,9.99,7.9,281,Casual
